item_id,person_id,person_fname,person_lname,item_desc_translation,month_y,year_y
2,2,Jan,Lieuen,carve the rafters,--,1405
3,2,Jan,Lieuen,restored the choir,--,1405
4,2,Jan,Lieuen,stacking the rafters [see Laden-Verdam 318],--,1405
5,2,Jan,Lieuen,for erecting and stacking the rafters,--,1405
13,2,Jan,Lieuen,to place the posts and angels,--,1405
2,3,--,'Apprenctice of  Jan Lieuen',carve the rafters,--,1405
5,3,--,'Apprenctice of  Jan Lieuen',for erecting and stacking the rafters,--,1405
13,3,--,'Apprenctice of  Jan Lieuen',to place the posts and angels,--,1405
4,4,Tonis,Lieuen?,stacking the rafters [see Laden-Verdam 318],--,1405
5,4,Tonis,Lieuen?,for erecting and stacking the rafters,--,1405
7,4,Tonis,Lieuen?,did new(difficult?) work on the roof) [see Verdam 378 and 581] 6 pl for 15 days,--,1405
13,4,Tonis,Lieuen?,to place the posts and angels,--,1405
6,5,Maes,de Segher (the Sawyer),sawing battens (for the roof),--,1405
6,6,--,'Workshop Companion of  Maes de Segher',sawing battens (for the roof),--,1405
8,7,Keuen,Dillen,unstated work,--,1405
9,8,Hennen ,Jordens,unstated work,--,1405
11,9,Jan,Houech,for a stone on the chapel tower or beacon tower,--,1405
12,11,Henric,van den Wyeweghe,carved post and angel,--,1405
15,12,Wouter,Lantmeteren,for plaster and work,--,1405
14,13,Heric,Lantmeteren,for iron work and for aligning the rood,--,1405
17,13,Heric,Lantmeteren,for four iron (pieces) to the glass,--,1405
10,14,--,Anonymous Stone Carver,for the capstone,--,1405
16,15,Henric,Truden (the elder?),for setting the glass windows,--,1405
18,15,Henric,Truden (the elder?),for hanging the clock strap [alternate-for hanging the bell bracket],--,1405
240,15,Henric,Truden (the elder?),earned for unstated work,August,1454
265,15,Henric,Truden (the elder?),earned for service (work) in the church,December,1454
293,15,Henric,Truden (the elder?),--,July,1455
318,15,Henric,Truden (the elder?),three-and-a-half days’ work at a rate of 3 s per day,September,1455
329,15,Henric,Truden (the elder?),three-and-a-half days’ work,October,1455
334,15,Henric,Truden (the elder?),four days’ work,October,1455
413,15,Henric,Truden (the elder?),half-day's work,May,1457
430,15,Henric,Truden (the elder?),two days’ work (unspecified),July,1456
447,15,Henric,Truden (the elder?),four days’ work,August,1456
454,15,Henric,Truden (the elder?),four-and-a-half days work,August,1456
474,15,Henric,Truden (the elder?),one-and-a-half day's work,August,1456
494,15,Henric,Truden (the elder?),two-and-a-half days’ work,August,1456
500,15,Henric,Truden (the elder?),"3 ½ m chalk, each m 8 s",September,1456
508,15,Henric,Truden (the elder?),two-and-a-half days’ work,September,1456
524,15,Henric,Truden (the elder?),four days’ work,September,1456
553,15,Henric,Truden (the elder?),two-and-a-half days’ work,October,1456
565,15,Henric,Truden (the elder?),two days’ work,November,1456
19,16,--,Anonymous Stationer,for ink and paper,--,1405
22,17,--,Anonymous Glassmaker,for finely worked glass,--,1405
23,17,--,Anonymous Glassmaker,for half day of work,--,1405
24,19,Herman,van Serpele,for a candle holder,--,1405
99,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),paid in full the day after St. Mary Magdalen’s Day for three years’ worth of yearly stipends,July,1453
111,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),one day's work,August,1453
292,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),two days rent,July,1455
352,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),--,October,1455
353,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),seventeen stones roughed out cost per piece 7 pl 3 s,October,1455
435,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),one day's work,July,1456
584,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),for the cap of the choir and for removing the glass windows and for the facade 2 days,November,1456
640,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),we remain responsible for 7 days each day 7 s,September,1457
892,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),we owe … seven day’s (wages),June,1459
893,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),(we owe) his stipend … for two years,June,1459
894,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),(we owe) his stipend for (14)56 (14)57 (14)58 on the tenth of June,June,1459
963,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),paid his stipend,June,1460
1000,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),for his yearly stipend,June,1460
1089,22,Meester Matheeus (Matthijs?),de Layens (d. 1483?),for his yearly stipend,June,1463
895,23,Jan,Lieuen,for playing the organ,June,1459
1001,23,Jan,Lieuen,for playing the organ,June,1460
1090,23,Jan,Lieuen,for playing the organ,June,1463
839,24,Meester Daem,nan,paid eight days after thirteen days from two years ago,January,1459
896,24,Meester Daem,nan,for his yearly stipend,June,1459
1002,24,Meester Daem,nan,for his yearly stipend,June,1460
1091,24,Meester Daem,nan,for his yearly stipend,June,1463
25,25,--,Anonymous Carpenter,for making the stand for Saint Cristoffel,July,1452
31,26,Henirc,Trudens,earned for unstated work,August,1452
35,26,Henirc,Trudens,earned for unstated work,August,1452
113,26,Henirc,Trudens,three-and-a-half days’ work at a rate of 3 s per day,August,1453
120,26,Henirc,Trudens,four days’ work (unspecified),September,1453
127,26,Henirc,Trudens,three days’ work (unspecified),September,1453
134,26,Henirc,Trudens,four days’ work (unspecified),October,1453
151,26,Henirc,Trudens,half-day’s work,November,1453
178,26,Henirc,Trudens,unstated work,February,1454
631,26,Henirc,Trudens,two days’ work,September,1457
644,26,Henirc,Trudens,five days’ work,October,1457
649,26,Henirc,Trudens,two days’ work (unspecified),October,1457
657,26,Henirc,Trudens,one day's work,October,1457
672,26,Henirc,Trudens,four-and-a-half days work,November,1457
719,26,Henirc,Trudens,four days’ work,March,1458
726,26,Henirc,Trudens,four days’ work,April,1458
733,26,Henirc,Trudens,one-and-a-half day's work,April,1458
766,26,Henirc,Trudens,three-and-a-half days’ work,April,1458
800,26,Henirc,Trudens,one-and-a-half day's work,June,1458
905,26,Henirc,Trudens,two days’ work,August,1459
921,26,Henirc,Trudens,two days at the choir school making the paved walkway,October,1459
950,26,Henirc,Trudens,(three workers) worked three-and-a-half days on the wall in the great house,April,1460
951,26,Henirc,Trudens,half-day's work,April,1460
969,26,Henirc,Trudens,nine days’ work,June,1460
987,26,Henirc,Trudens,six-and-a-half days’ work,June,1460
1045,26,Henirc,Trudens,one-half day’s work,April,1461
1065,26,Henirc,Trudens,three-and-a-half day’s work,June,1461
1078,26,Henirc,Trudens,one day's work,June,1461
296,27,Lieben (?),Apprentice of Henric Trudens,two-and-a-half days’ work at a rate of 7 pl per day,July,1455
319,27,Lieben (?),Apprentice of Henric Trudens,four-and-a-half days work at a daily rate of 7 pl,September,1455
331,27,Lieben (?),Apprentice of Henric Trudens,four-and-a-half days work,October,1455
335,27,Lieben (?),Apprentice of Henric Trudens,four days’ work,October,1455
339,27,Lieben (?),Apprentice of Henric Trudens,one-and-a-half day's work,October,1455
634,27,Lieben (?),Apprentice of Henric Trudens,one day's work,September,1457
25,28,--,Anonymous Carpenter,for making the stand for Saint Cristoffel,July,1452
26,29,--,Anonymous Laborer,for putting up the trellis on the chimney in Dormale,July,1452
27,30,--,Anonymous Vendor,for cords,July,1452
28,31,--,Anonymous Laborer,for shutting or securing the windows,July,1452
29,32,--,Anonymous Vendor,purchased four lamps,August,1452
30,33,--,Anonymous Lead Smith,purchased two rolls of lead weighing 245 lbs at a cost of 2 crowns per hundred (lbs),August,1452
31,34,--,Coworker of Henric Trudens,earned for unstated work,August,1452
35,34,--,Coworker of Henric Trudens,earned for unstated work,August,1452
32,35,Heyne (Henric),van Potheem,to oversee the book,August,1452
74,35,Heyne (Henric),van Potheem,for binding the martyrology which includes the legend of St. Nicolas (of Bari),December,1452
604,35,Heyne (Henric),van Potheem,for binding a book,August,1457
906,35,Heyne (Henric),van Potheem,earned for binding books,August,1459
33,36,--,Anonymous Carpenter,unstated work for one day,August,1452
33,37,--,Anonymous Carpenter,unstated work for one day,August,1452
34,38,Euerart,nan,for making a St. Christoffel (presumably a statue?),August,1452
694,38,Euerart,nan,purchased two pieces of lumber … that was for use at Dieric Metioel’s house,March,1458
36,39,--,Anonymous Roofing Supplier,1300 pieces of slate (roofing tile?) at a cost of two Rijn Gilders per thousand for a total of 5 gripen 2 s,September,1452
37,39,--,Anonymous Roofing Supplier,2000 lath nails and 4000 slate nails brought from Liege,September,1452
38,40,--,Anonymous Roofer Coworker,for the two workshop colleagues who accompanied the wagon to Liege,September,1452
38,41,--,Anonymous Roofer Coworker,for the two workshop colleagues who accompanied the wagon to Liege,September,1452
39,42,--,Apprentice to Master Ian the Slate Roofer (de Scervensteenedeckere),--,September,1452
175,42,--,Apprentice to Master Ian the Slate Roofer (de Scervensteenedeckere),earned for unstated roofing work,February,1454
810,42,--,Apprentice to Master Ian the Slate Roofer (de Scervensteenedeckere),seven days’ work,July,1458
42,43,--,Anonymous Book Binder,for binding the small martyrology (Golden Legend),September,1452
43,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),one day’s work,September,1452
118,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),worked four days at a rate of 4 s per day,September,1453
119,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),(worked) another three days at a rate of 9s per day,September,1453
175,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),earned for unstated roofing work,February,1454
585,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),3100 roof tiles at a rate of 3 Rhine Guilder per thousand,December,1456
585,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),3100 roof tiles at a rate of 3 Rhine Guilder per thousand,December,1456
587,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),again from him 100 feet of batten,December,1456
588,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),another 400 slate tiles,December,1456
810,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),seven days’ work,July,1458
872,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),reckoned … after accounts for the year (14)59 twelve days in April we remain responsible to him for (payment for) the chapel of the rods,June,1459
875,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),five day’s work,June,1459
876,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),four days’ work,June,1459
877,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),four day’s work,June,1459
883,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),we owe … 2 days’ (wages),June,1459
884,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),we still owe him for (what he) earned for work on the chapel of the rods,June,1459
885,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),we also owe him 1 day’s (wages),June,1459
924,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),for many days’ work that he worked on the clock that strikes the hours as well as other work and also for nails all together,October,1459
957,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),(two workers) five days on the church each day 5 s,May,1460
1003,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),eight days’ work each day 7 s,July,1460
1011,44,Master Jan (Ian),de Scervensteenedeckere (Slate Roofer),two day’s work,July,1460
43,45,--,Brother of Master Ian de Scervensteenedeckere ,one day’s work,September,1452
44,45,--,Brother of Master Ian de Scervensteenedeckere ,three days of work at 6 s per day for a total of 18 s,September,1452
875,45,--,Brother of Master Ian de Scervensteenedeckere ,five day’s work,June,1459
876,45,--,Brother of Master Ian de Scervensteenedeckere ,four days’ work,June,1459
877,45,--,Brother of Master Ian de Scervensteenedeckere ,four day’s work,June,1459
878,45,--,Brother of Master Ian de Scervensteenedeckere ,three-and-a-half days’ work,June,1459
879,45,--,Brother of Master Ian de Scervensteenedeckere ,three day’s work,June,1459
883,45,--,Brother of Master Ian de Scervensteenedeckere ,we owe … 2 days’ (wages),June,1459
957,45,--,Brother of Master Ian de Scervensteenedeckere ,(two workers) five days on the church each day 5 s,May,1460
1003,45,--,Brother of Master Ian de Scervensteenedeckere ,eight days’ work each day 7 s,July,1460
1011,45,--,Brother of Master Ian de Scervensteenedeckere ,two day’s work,July,1460
43,46,Collijn,"No surname given, only Colijn",one day’s work,September,1452
44,46,Collijn,"No surname given, only Colijn",three days of work at 6 s per day for a total of 18 s,September,1452
41,47,--,Anonymous Vendor,for another cord or strap,September,1452
46,48,Jan,Tgrex,worked for 2 days for the choir students (female) each day 3 ½ s,September,1452
56,48,Jan,Tgrex,one day of usual work,October,1452
140,48,Jan,Tgrex,unstated but workman identified as a plasterer,October,1453
253,48,Jan,Tgrex,roofed the new (narrow?) choir (courtyard? watchtower?) for four days at a rate of 2 s per day,October,1454
256,48,Jan,Tgrex,for straw (thatch?) with which to cover (roof?) the new (narrow?) choir (courtyard? Watchtower?,October,1454
374,48,Jan,Tgrex,four days at the beke (marker?) in the manor house at a daily rate of 2 s,July,1456
384,48,Jan,Tgrex,five days work at a daily rate of 3 ½ s,August,1456
397,48,Jan,Tgrex,five days work at a daily rate of 3 ½ s,October,1456
402,48,Jan,Tgrex,three days’ work on the new choir at a daily rate of 3 ½ s,December,1456
410,48,Jan,Tgrex,(work) in Dormale three days at a daily rate of 3 ½ s,April,1457
458,48,Jan,Tgrex,four days’ work,August,1456
463,48,Jan,Tgrex,four days’ work,August,1456
551,48,Jan,Tgrex,six days’ work,October,1456
571,48,Jan,Tgrex,one day's work,November,1456
617,48,Jan,Tgrex,four-and-a-half days work,September,1457
651,48,Jan,Tgrex,six days’ work,October,1457
675,48,Jan,Tgrex,three-and-a-half days’ work,November,1457
681,48,Jan,Tgrex,four days’ work in Dormale on the door,December,1457
699,48,Jan,Tgrex,for 3 days’ roofing at Dormale,March,1458
707,48,Jan,Tgrex,two days’ work,March,1458
717,48,Jan,Tgrex,four-and-a-half days work,March,1458
728,48,Jan,Tgrex,five days’ work,April,1458
736,48,Jan,Tgrex,two days’ work,April,1458
753,48,Jan,Tgrex,three days’ work,April,1458
767,48,Jan,Tgrex,two days’ work (plastering),May,1458
769,48,Jan,Tgrex,two days’ work (plastering),May,1458
771,48,Jan,Tgrex,one days’ work (plastering),May,1458
779,48,Jan,Tgrex,three days’ work (plastering),May,1458
782,48,Jan,Tgrex,two days’ work (plastering),June,1458
784,48,Jan,Tgrex,five days’ work (plastering),June,1458
803,48,Jan,Tgrex,five days’ work (plastering),June,1458
820,48,Jan,Tgrex,5 ½ days’ work,October,1458
822,48,Jan,Tgrex,three day’s work,October,1458
827,48,Jan,Tgrex,two days’ work,November,1458
828,48,Jan,Tgrex,three day’s work,November,1458
833,48,Jan,Tgrex,one-and-a-half day's work (plastering),December,1458
851,48,Jan,Tgrex,two-and-a-half day’s work (plastering),May,1459
859,48,Jan,Tgrex,for seven day’s work on Peter van Huwagen’s house,June,1459
861,48,Jan,Tgrex,six days’ work,June,1459
863,48,Jan,Tgrex,one day’s work,June,1459
865,48,Jan,Tgrex,(for work) on Mos Gheymar’s house 2 ½ days 3 quarter days (and) 1 day,June,1459
912,48,Jan,Tgrex,three day’s work,September,1459
918,48,Jan,Tgrex,seven days’ work,October,1459
948,48,Jan,Tgrex,for two-day’s work on Peter van Brussels’ wall,April,1460
955,48,Jan,Tgrex,five days’ work (plastering),May,1460
990,48,Jan,Tgrex,two-and-a-half day’s work,June,1460
995,48,Jan,Tgrex,four day’s work,June,1460
1006,48,Jan,Tgrex,one day's work,July,1460
1015,48,Jan,Tgrex,roofed on the church ten days,September,1460
1017,48,Jan,Tgrex,another four-and-a-half day’s work,September,1460
1020,48,Jan,Tgrex,two-and-a-half day’s work,October,1460
1063,48,Jan,Tgrex,three days work,June,1461
1084,48,Jan,Tgrex,three-and-a-half day’s work,June,1461
1098,48,Jan,Tgrex,for two day’s work on the pipe (?) at the square,September,1463
46,49,Ghielen,Apprentice of Jan Tgrex,worked for 2 days for the choir students (female) each day 3 ½ s,September,1452
56,49,Ghielen,Apprentice of Jan Tgrex,one day of usual work,October,1452
141,49,Ghielen,Apprentice of Jan Tgrex,unstated but workman identified as a plasterer’s apprentice,October,1453
384,49,Ghielen,Apprentice of Jan Tgrex,five days work at a daily rate of 3 ½ s,August,1456
397,49,Ghielen,Apprentice of Jan Tgrex,five days work at a daily rate of 3 ½ s,October,1456
402,49,Ghielen,Apprentice of Jan Tgrex,three days’ work on the new choir at a daily rate of 3 ½ s,December,1456
572,49,Ghielen,Apprentice of Jan Tgrex,one day's work,November,1456
47,50,Meriken,die Neorse,for repairing the curtains in the high choir and for the purchase of 33 weights of woolen thread,September,1452
75,50,Meriken,die Neorse,earned for various work in the church,December,1452
412,50,Meriken,die Neorse,earned for various work for the church,May,1457
45,51,--,Anonymous Vendor,for plaster,September,1452
48,52,--,Anonymous Stone Carver,for a holy water bowl,September,1452
40,53,Willem,"No surname given, only Willem",for 5 days working on behalf of the church,September,1452
68,53,Willem,"No surname given, only Willem",one day's work,October,1452
83,53,Willem,"No surname given, only Willem",one day working in the woods,March,1453
97,53,Willem,"No surname given, only Willem",sent to Ziegene (on the Maas) for stone one-and-a-half days,July,1453
98,53,Willem,"No surname given, only Willem",brought two wagon loads of stone from Ziegene on the Maas which cost (op die cuycte),July,1453
105,53,Willem,"No surname given, only Willem",one-and-a-half day's work,July,1453
115,53,Willem,"No surname given, only Willem",two-and-a-half days’ work,August,1453
49,54,--,Scrivere van Syntruden,to write a martyrology (legend) and book with paint,October,1452
50,55,--,Anonymous Carpenter,worked for two days,October,1452
50,56,--,Anonymous Carpenter,worked for two days,October,1452
53,57,--,Anonymous Roofer,4 ½ days of work in the church house each day 23 pl,October,1452
53,58,--,Anonymous Roofer,4 ½ days of work in the church house each day 23 pl,October,1452
57,59,--,Anonymous Carpenter,worked on the farm in Dormale,October,1452
57,60,--,Anonymous Carpenter,worked on the farm in Dormale,October,1452
51,61,--,Anonymous Book Binder,for binding a large Psalter,October,1542
52,62,--,Anonymous Cloth Merchant,purchased 30 ells of linen cloth each ell 7 pl,October,1452
54,63,--,Anonymous Tile (roof) Vendor,purchased tiles (roof tiles?),October,1452
55,64,--,Anonymous Merchant,for lime (plaster) and sand (possibly for mortar?),October,1452
58,65,--,Anonymous Merchant,two bushels of lath battens (for roofing?),October,1452
66,66,--,Anonymous Glazier,39 pounds of glass restored each pound 7 pl,October,1452
59,67,--,Anonymous Carpenter,for making the stand 3 ½ days,October,1452
59,68,--,Anonymous Carpenter,for making the stand 3 ½ days,October,1452
60,69,--,Anonymous Sawyer,3 ½ days work,October,1452
60,70,--,Anonymous Sawyer,3 ½ days work,October,1452
61,71,Mathijs,van Hakedeuel,worked six days each day 4 s,October,1452
62,71,Mathijs,van Hakedeuel,another 5 days each day 3 s,October,1452
298,71,Mathijs,van Hakedeuel,worked five days at a rate of 4 s per day,July,1455
316,71,Mathijs,van Hakedeuel,worked five days at a rate of 4 s per day,September,1455
326,71,Mathijs,van Hakedeuel,five days’ work,October,1455
342,71,Mathijs,van Hakedeuel,for work (service),October,1455
428,71,Mathijs,van Hakedeuel,four days work hewing (timber) in the lodge at a daily rate of 4 s,July,1456
438,71,Mathijs,van Hakedeuel,four days’ work,August,1456
451,71,Mathijs,van Hakedeuel,six days’ work,August,1456
471,71,Mathijs,van Hakedeuel,three-and-a-half days’ work,August,1456
485,71,Mathijs,van Hakedeuel,six days’ work,August,1456
518,71,Mathijs,van Hakedeuel,nine days’ work,September,1456
546,71,Mathijs,van Hakedeuel,twenty-three-days’ work,October,1456
63,72,Jan(?),Apprentice of Mathijs van Hakedeuel,five days’ work each day 3 s,October,1452
64,72,Jan(?),Apprentice of Mathijs van Hakedeuel,one day's work,October,1452
299,72,Jan(?),Apprentice of Mathijs van Hakedeuel,five days’ work at a rate of 3 s per day,July,1455
317,72,Jan(?),Apprentice of Mathijs van Hakedeuel,five days’ work at a rate of 3 s per day,September,1455
327,72,Jan(?),Apprentice of Mathijs van Hakedeuel,four-and-a-half days work,October,1455
502,72,Jan(?),Apprentice of Mathijs van Hakedeuel,ten day’s work,September,1456
65,73,--,Anonymous Carpenter,one-and-a-half day's work,October,1452
65,74,--,Anonymous Carpenter,one-and-a-half day's work,October,1452
67,75,--,Anonymous Glassmaker,33 feet of new glass each foot 1 ½ s,October,1452
64,76,--,Apprentice 2 of Mathijs van Hakedeuel,one day's work,October,1452
69,77,--,Anonymous Potmaker,for work,November,1452
1019,78,Cornielis,"No surname given, only Cornielis",2 bushels of batten,September,1460
1083,78,Cornielis,"No surname given, only Cornielis",two bushels of lath,June,1461
70,79,--,Anonymous Cloth Merchant,10 and one quarter ells ‘twirled’ cloth,November,1452
71,79,--,Anonymous Cloth Merchant,purchased 1 ½ ells of cloak material,November,1452
72,80,Jan,van Breede,for making a holy water cup and other work,November,1452
162,80,Jan,van Breede,for work,December,1453
73,81,--,Anonymous Glassmaker,for work,December,1452
76,83,--,Anonymous Silver Smith,for making a silver censer,January,1453
77,84,--,Anonymous Blacksmith,two clock brackets (iron) weighing 54 pounds each pound ½ s,January,1453
78,85,Leonart,Meersman,for work done in the church,January,1453
79,86,Willem,Godyns,for locks and other work in the church,February,1453
211,86,Willem,Godyns,earned for various work,June,1454
599,86,Willem,Godyns,earned for various work in the church in (14)56 and (14)57,July,1457
798,86,Willem,Godyns,earned for making(?) and closing the vault and the weigh house(?),June,1458
799,86,Willem,Godyns,earned for more various work,June,1458
981,86,Willem,Godyns,earned for various work for the church,June,1460
1088,86,Willem,Godyns,paid … for earnings for various work in the church,June,1461
80,87,--,Anonymous Woodworker(Carver),purchased fifteen statuettes) alternate (purchased 15 patches (purchased 15 axes,February,1453
81,88,Henric,Tel,three days’ work hewing wood and setting a post,March,1453
123,88,Henric,Tel,two days’ work (unspecified) at a rate of 7 pl per day,September,1453
130,88,Henric,Tel,two days’ work (unspecified),September,1453
278,88,Henric,Tel,for work (service),April,1455
761,88,Henric,Tel,one-and-a-half day's work,April,1458
764,88,Henric,Tel,one day's work,April,1458
82,89,Jan ,Mertens,four-and-a-half days’ work for the same work (hewing wood and setting a post) each day 7 pl,March,1453
760,89,Jan ,Mertens,one day's work,April,1458
854,89,Jan ,Mertens,½ quart of beer for the font,May,1459
84,90,Jan,van Bree ,earned toward a water can?,March,1453
85,91,--,Anonymous Laborer,for sweeping the gutters on the church and for cleaning the vault,March,1453
86,92,--,Anonymous Vendor,purchased two m (chalk or lime) and one h om,April,1453
87,93,--,Anonymous Roofer,worked in the church seven-and-a-half days each day 23 pl,April,1453
87,94,--,Anonymous Roofer,worked in the church seven-and-a-half days each day 23 pl,April,1453
88,95,--,Anonymous Roofing Supplier,purchased 850 roof tiles at a cost of 2 ½ s per hundred tiles,April,1453
89,96,Ellen,Winters,earned for various work in the church,April,1453
93,96,Ellen,Winters,earned for various work,June,1453
152,96,Ellen,Winters,by horse for service (to work) in Dormale,November,1453
