"person_id","person_fname","person_lname","occupation_id","location_id","month","year","gender",
1,,"Custer van Dienst",2,1,,1405,"m",
2,"Jan","Lieuen",3,1,,1405,"m",
3,,"'Apprenctice of  Jan Lieuen'",3,1,,1405,"m",
4,"Tonis","Lieuen?",3,1,,1405,"m",
5,"Maes","de Segher (the Sawyer)",4,1,,1405,"m",
6,,"'Workshop Companion of  Maes de Segher'",4,1,,1405,"m",
7,"Keuen","Dillen",1,1,,1405,"m",
8,"Hennen ","Jordens",1,1,,1405,"m",
9,"Jan","Houech",5,1,,1405,"m",
10,,"Anonymous Performer ",6,1,,1405,"m",
11,"Henric","van den Wyeweghe",7,1,,1405,"m",
12,"Wouter","Lantmeteren",7,1,,1405,"m",
13,"Heric","Lantmeteren",8,1,,1405,"m",
14,,"Anonymous Stone Carver",5,1,,1405,"m",
15,"Henric","Truden (the elder?)",9,1,,1405,"m",
16,,"Anonymous Stationer",10,1,,1405,"m",
17,,"Anonymous Glassmaker",11,1,,1405,"m",
18,"Herman","den custer",2,1,,1405,"m",
19,"Herman","van Serpele",12,1,,1405,"m",
20,,"Custer van Beyarden",2,1,,1452,"m",
21,,"Anonymous Servant",13,1,,1452,"m",
22,"Meester Matheeus (Matthijs?)","de Layens (d. 1483?)",5,1,,1452,"m","Possibly the Master Builder Matthijs de Leyens [d. 1483] see Suykerbuyk, 33-4"
23,"Jan","Lieuen",14,1,,1452,"m",
24,"Meester Daem",,15,1,,1452,"m",
25,,"Anonymous Carpenter",3,1,"July",1452,"m",
26,"Henirc","Trudens",3,1,"July",1452,"m",
27,"Lieben (?)","Apprentice of Henric Trudens",3,1,"July",1452,"m",
28,,"Anonymous Carpenter",3,1,"July",1452,"m",
29,,"Anonymous Laborer",9,3,"July",1542,"m",
30,,"Anonymous Vendor",16,1,"July",1452,"m",
31,,"Anonymous Laborer",9,1,"July",1452,"m",
32,,"Anonymous Vendor",16,1,"August",1452,"m",
33,,"Anonymous Lead Smith",18,1,"August",1452,"m",
34,,"Coworker of Henric Trudens",9,1,"August",1452,"m",
35,"Heyne (Henric)","van Potheem",21,1,"August",1452,"m",
36,,"Anonymous Carpenter",3,1,"August",1452,"m","Possibly #25 or #28?"
37,,"Anonymous Carpenter",3,1,"August",1452,"m","Possibly #25 or #28?"
38,"Euerart",,7,1,"August",1452,"m",
39,,"Anonymous Roofing Supplier",20,1,"September",1452,"m","Possibly #44?"
40,,"Anonymous Roofer Coworker",20,1,"September",1452,"m",
41,,"Anonymous Roofer Coworker",20,1,"September",1452,"m",
42,,"Apprentice to Master Ian the Slate Roofer (de Scervensteenedeckere)",20,1,"September",1452,"m",
43,,"Anonymous Book Binder",21,1,"September",1452,"m",
44,"Master Jan (Ian)","de Scervensteenedeckere (Slate Roofer)",20,1,"September",1452,"m","Possibly #39?"
45,,"Brother of Master Ian de Scervensteenedeckere ",20,1,"September",1452,"m",
46,"Collijn","No surname given, only Colijn",20,1,"September",1452,"m",
47,,"Anonymous Vendor",9,1,"September",1452,"m",
48,"Jan","Tgrex",34,1,"September",1452,"m",
49,"Ghielen","Apprentice of Jan Tgrex",34,1,"September",1452,"m",
50,"Meriken","die Neorse",22,1,"September",1452,"f",
51,,"Anonymous Vendor",1,1,"September",1452,"m",
52,,"Anonymous Stone Carver",5,1,"September",1452,"m",
53,"Willem","No surname given, only Willem",1,1,"September",1452,"m",
54,,"Scrivere van Syntruden",23,1,"October",1452,"m",
55,,"Anonymous Carpenter",3,1,"October",1452,"m",
56,,"Anonymous Carpenter",3,1,"October",1452,"m",
57,,"Anonymous Roofer",20,1,"October",1452,"m",
58,,"Anonymous Roofer",20,1,"October",1452,"m",
59,,"Anonymous Carpenter",3,1,"October",1452,"m",
60,,"Anonymous Carpenter",3,1,"October",1452,"m",
61,,"Anonymous Book Binder",21,1,"October",1452,"m",
62,,"Anonymous Cloth Merchant",24,1,"October",1452,"m",
63,,"Anonymous Tile (roof) Vendor",25,1,"October",1452,"m",
64,,"Anonymous Merchant",1,1,"October",1452,"m",
65,,"Anonymous Merchant",1,1,"October",1452,"m",
66,,"Anonymous Glazier",17,1,"October",1452,"m",
67,,"Anonymous Carpenter",3,1,"October",1452,"m",
68,,"Anonymous Carpenter",3,1,"October",1452,"m",
69,,"Anonymous Sawyer",4,1,"October",1452,"m",
70,,"Anonymous Sawyer",4,1,"October",1452,"m",
71,"Mathijs","van Hakedeuel",9,1,"October",1452,"m",
72,"Jan(?)","Apprentice of Mathijs van Hakedeuel",9,1,"October",1452,"m",
73,,"Anonymous Carpenter",3,1,"October",1452,"m",
74,,"Anonymous Carpenter",3,1,"October",1452,"m",
75,,"Anonymous Glassmaker",11,1,"October",1452,"m",
76,,"Apprentice 2 of Mathijs van Hakedeuel",9,1,"October",1452,"m",
77,,"Anonymous Potmaker",26,1,"November",1452,"m",
78,"Cornielis","No surname given, only Cornielis",1,1,"November",1452,"m",
79,,"Anonymous Cloth Merchant",24,1,"November",1452,"m",
80,"Jan","van Breede",27,1,"November",1452,"m",
81,,"Anonymous Glassmaker",11,1,"December",1452,"m",
82,,"Anonymous Organ Master",15,1,"January",1453,"m",
83,,"Anonymous Silver Smith",28,1,"January",1453,"m",
84,,"Anonymous Blacksmith",8,1,"January",1453,"m",
85,"Leonart","Meersman",1,1,"January",1453,"m",
86,"Willem","Godyns",29,1,"February",1453,"m",
87,,"Anonymous Woodworker(Carver)",7,1,"February",1453,"m",
88,"Henric","Tel",3,1,"March",1453,"m",
89,"Jan ","Mertens",3,1,"March",1453,"m",
90,"Jan","van Bree ",1,1,"March",1453,"m",
91,,"Anonymous Laborer",9,1,"March",1453,"m",
92,,"Anonymous Vendor",1,1,"April",1453,"m",
93,,"Anonymous Roofer",20,1,"April",1453,"m",
94,,"Anonymous Roofer",20,1,"April",1453,"m",
95,,"Anonymous Roofing Supplier",20,1,"April",1453,"m",
96,"Ellen","Winters",1,1,"April",1453,"f",
97,"Liue","Hamels",22,1,"May",1453,"m",
98,,"Anonymous Trumpeter",30,1,"May",1453,"m",
99,,"Anonymous Trumpeter",30,1,"May",1453,"m",
100,,"Anonymous Piper",30,1,"May",1453,"m",
101,,"Anonymous Piper",30,1,"May",1453,"m",
102,,"Anonymous Drummer",30,1,"May",1453,"m",
103,,"Anonymous Drummer",30,1,"May",1453,"m",
104,,"Anonymous Drummer",30,1,"May",1453,"m",
104,,"Anonymous Drummer",30,1,"May",1453,"m",
106,,"Anonymous Drummer",30,1,"May",1453,"m",
107,,"Anonymous Laborer",9,1,"May",1453,"m",
108,,"Anonymous Performer",6,1,"May",1453,"m",
109,,"Anonymous Performer",6,1,"May",1453,"m",
110,,"Anonymous Performer",6,1,"May",1453,"m",
111,,"Custer van Beyarden",2,1,"May",1453,"m",
112,,"Custer van Beyarden",2,1,"May",1453,"m",
113,,"Custre van Beyarden",2,1,"May",1453,"m",
114,,"Anonymous Person",1,1,"May",1453,"m",
115,,"Anonymous Person",1,1,"May",1453,"m",
116,,"Anonymous Person",1,1,"May",1453,"m",
117,,"Anonymous Person",1,1,"May",1453,"m",
118,"Jan","der Hane",6,1,"May",1453,"m",
119,,"Anonymous Cloth Merchant",24,1,"May",1453,"m",
120,"Master Willem","van Colene",7,1,"June",1453,"m",
121,,"Anonymous Wood Vendor",3,1,"June",1453,"m",
122,,"Custer van Beyardenne",2,1,"June",1453,"m",
123,,"Custer van Beyardenne",2,1,"June",1453,"m",
124,,"Custer van Beyardenne",2,1,"June",1453,"m",
125,,"Anonymous Wood/Lumber Vendor",31,1,"July",1453,"m",
126,,"Anonymous Laborer",9,1,"July",1453,"m",
127,,"Anonymous Laborer",9,1,"July",1453,"m",
128,,"Anonymous Laborer",9,1,"July",1453,"m",
129,,"Anonymous Blacksmith",8,1,"July",1453,"m",
130,,"Anonymous Vendor",1,1,"July",1453,"m",
131,,"Anonymous Wood/Lumber Vendor",31,1,"July",1453,"m",
132,"Henric","Merbeys",3,1,"July",1453,"m",
133,"Henric ","Tullere",3,1,"July",1453,"m",
134,"Aert","Geldeken",1,1,"July",1453,"m",
135,"Peter ","Hoeuisers",1,1,"July",1453,"m",
136,"Huwar","van Brusele",5,1,"July",1453,"m",
137,"Eueraert","No surname given, only Eueraert",32,1,"July",1453,"m",
138,"Henric","Helman",1,1,"August",1453,"m",
139,"Lieben","Wijnters",1,1,"August",1453,"m",
140,,"Anonymous Lead Smith",18,1,"September",1453,"m",
141,,"Anonymous Roofer",20,1,"September",1453,"m",
142,,"Anonymous Roofer",20,1,"September",1453,"m",
143,,"Anonymous Roofer",20,1,"September",1453,"m",
144,"Willem","der Wochtere",33,1,"September",1453,"m",
145,"Hennen ","Beckere",1,1,"September",1453,"m",
146,"Willem","Vos",1,1,"September",1453,"m",
147,,"Anonymous Coster",2,1,"September",1453,"m",
148,,"Anonymous Coster",2,1,"September",1453,"m",
149,,"Anonymous Coster",2,1,"September",1453,"m",
150,"Iacop","Hollendere",1,1,"September",1453,"m",
151,,"Anonymous Vendor",1,1,"October",1453,"m",
152,,"Anonymous Worker (female?)",1,1,"October",1453,"m",
153,,"Anonymous Founder (bell)",35,1,"October",1453,"m",
154,,"Anonymous Carpenter",3,1,"October",1453,"m",
155,"Geert","Leuwerys",4,1,"October",1453,"m",
156,"Hennen ","Coworker of Geert Leuwerys",4,1,"October",1453,"m",
157,,"Anonymous Priest?",2,1,"October",1453,"m",
158,"Willem","van Gelmen",31,1,"October",1453,"m",
159,,"Anonymous Vendor",1,1,"October",1453,"m",
160,"Jan","Kendelere",3,1,"November",1453,"m",
161,,"Jan Kendelere’s Son",3,1,"November",1453,"m",
162,"Lemmen","de Zegere (the Sawyer)",4,1,"December",1453,"m",
163,,"Apprentice of Lemmen de Zegere",4,1,"December",1453,"m",
164,"Henric","Ziegere (Sawyer)",4,1,"January",1454,"m",
165,"Meester Jan","No surname given, only Meester Jan",36,1,"January",1454,"m",
166,"Peter ","Nieuele",3,1,"January",1454,"m",
167,,"Anonymous Vendor",1,1,"January",1454,"m",
168,,"Anonymous Lumber/Wood Vendor",31,1,"February",1454,"m",
169,,"Anonymous Blacksmith",8,1,"February",1454,"m",
170,"Henric","Hoenen (Huenen)",3,1,"February",1454,"m",
171,"Henirc","Porckeel",1,1,"February",1454,"m",
172,"Heyne (Henric)","Vusen",31,1,"March",1454,"m",
173,"Jan","van Rommale",8,1,"March",1454,"m",
174,"Willem","Raspen",1,1,"April",1454,"m",
175,,"Anonymous Laborer",9,1,"April",1454,"m",
176,,"Anonymous Laborer",9,1,"April",1454,"m",
177,,"Anonymous Laborer",9,1,"April",1454,"m",
178,"Janne ","Ruelens",31,1,"April",1454,"m",
179,"Vaes","de Tiegeldeckere (the tile roofer)",20,1,"April",1454,"m",
180,,"Vaes de Tiegeldeckere’s Apprentice",20,1,"April",1454,"m",
181,,"Anonymous Vendor",1,1,"April",1454,"m",
182,,"Anonymous Vendor",1,1,"April",1454,"m",
183,"Jan","van Leuweren",31,1,"May",1454,"m",
184,,"Anonymous Metalsmith",27,1,"May",1454,"m",
185,,"Anonymous Trumpeter",30,1,"June",1454,"m",
186,,"Anonymous Trumpeter",30,1,"June",1454,"m",
187,,"Anonymous Trumpeter",30,1,"June",1454,"m",
188,,"Anonymous Piper",30,1,"June",1454,"m",
189,,"Anonymous Piper",30,1,"June",1454,"m",
190,,"Anonymous Piper",30,1,"June",1454,"m",
191,,"Anonymous Drummer",30,1,"June",1454,"m",
192,,"Anonymous Drummer",30,1,"June",1454,"m",
193,,"Anonymous Drummer",30,1,"June",1454,"m",
194,,"Anonymous Drummer",30,1,"June",1454,"m",
195,,"Anonymous Drummer",30,1,"June",1454,"m",
196,,"Anonymous Drummer",30,1,"June",1454,"m",
197,,"Anonymous Drummer",30,1,"June",1454,"m",
198,,"Anonymous Drummer",30,1,"June",1454,"m",
199,,"Anonymous Performer",6,1,"June",1454,"m",
200,,"Anonymous Performer",6,1,"June",1454,"m",
201,,"Anonymous Performer",6,1,"June",1454,"m",
202,,"Anonymous Stationer",10,1,"June",1454,"m",
203,"Ideken ","Hoefysers",1,1,"June",1454,"f",
204,"Henric","Floye",37,6,"June",1454,"m",
205,"Vrancke","Ballen",37,6,"June",1454,"m",
206,"Reynere","van den Guchte",37,1,"June",1454,"m",
207,"Machiel","van den Guchte",37,7,"June",1454,"m",
208,"Wouter","van den Rode",37,9,"June",1454,"m",
209,"Jan","van Repen",37,9,"June",1454,"m",
210,"Daneel","van den Rode",37,9,"June",1454,"m",
211,"Jan","Troest",37,9,"June",1454,"m",
212,"Henric","Cole",37,9,"June",1454,"m",
213,"Goerd","van den Abeele",1,1,"June",1454,"m",
214,"Jan","van den Guchte",37,1,"June",1454,"m",
215,"Lembrecht","Stas",37,7,"June",1454,"m",
216,"Geert","Oeyen",1,1,"June",1454,"m",
217,"Gielis","van den Putte",1,1,"June",1454,"m",
218,,"Anonymous Cloth Merchant",24,1,"July",1454,"m",
219,,"Anonymous Cloth Dyer",38,1,"July",1454,"m",
220,"Roelant","Tel",37,1,"July",1454,"m",
221,"Master Arde","van Dieste",39,1,"July",1454,"m",
222,,"Anonymous Stationer",10,1,"August",1454,"m",
223,,"Anonymous Painter",32,1,"August",1454,"m",
224,"Iacop ","Hollant",1,1,"August",1454,"m",
225,,"Anonymous Glassmaker",11,1,"August",1454,"m",
226,"Henric ","van den Stene",1,1,"September",1454,"m",
227,"Geert","Stocman",1,1,"September",1454,"m",
228,,"Anonymous Vendor",16,1,"September",1454,"m",
229,,"Anonymous Wood Vendor",31,1,"September",1454,"m",
230,"Henric","Huenen",1,1,"September",1454,"m",
231,,"Custer van Luyden",2,1,"September",1454,"m",
232,,"Custer van Luyden",2,1,"September",1454,"m",
233,,"Custer van Luyden",2,1,"September",1454,"m",
234,"Hennen ","Meyere",1,1,"October",1454,"m",
235,,"Anonymous Book Binder",21,1,"November",1454,"m",
236,,"Anonymous Cloth Merchant",24,1,"January",1455,"m",
237,,"Anonymous Blacksmith",8,1,"January",1455,"m",
238,"Lieben ","Seerles",4,1,"February",1455,"m",
239,,"Apprentice of Lieben Seerles",4,1,"February",1455,"m",
240,,"Anonymous Laborer",9,1,"March",1455,"m",
241,,"Anonymous Metal Smith ",27,1,"April",1455,"m",
242,,"Anonymous Lead Smith",18,1,"April",1455,"m",
243,,"Anonymous Vendor",1,1,"April",1455,"m",
244,,"Anonymous Laborer",9,1,"April",1455,"m",
245,,"servant 1 to Master Daem",40,1,"April",1455,"m",
246,,"Servant 2 to Master Daem",40,1,"April",1455,"m",
247,"Weynen ","Baerts",24,1,"April",1455,"m",
248,,"Anonymous Stationer",10,1,"May",1455,"m",
249,,"Anonymous Vendor",1,1,"May",1455,"m",
250,"Jan","Lieuen",14,1,"May",1455,"m",
251,,"Anonymous Wood Vendor",31,1,"May",1455,"m",
252,,"Anonymous Piper",30,1,"May",1455,"m",
253,,"Anonymous Piper",30,1,"May",1455,"m",
254,,"Anonymous Piper",30,1,"May",1455,"m",
255,,"Anonymous Trumpeter",30,1,"May",1455,"m",
256,,"Anonymous Trumpeter",30,1,"May",1455,"m",
257,,"Anonymous Trumpeter",30,1,"May",1455,"m",
258,,"Anonymous Drummer",30,1,"May",1455,"m",
259,,"Anonymous Drummer",30,1,"May",1455,"m",
260,,"Anonymous Drummer",30,1,"May",1455,"m",
261,,"Custer van Beyarden",2,1,"May",1455,"m",
262,,"Custer van Beyarden",2,1,"May",1455,"m",
263,,"Custer van Beyarden",2,1,"May",1455,"m",
264,,"Anonymous Wood Vendor",31,1,"June",1455,"m",
265,"Jan","Hannen",6,1,"June",1455,"m",
266,,"Anonymous Wagoner",37,1,"June",1455,"m",
267,"Mertten","Poelman",1,1,"July",1455,"m",
268,"Heyne (Henric)","Witte",1,1,"July",1455,"m",
269,"Woyten (Wouter)","van Hogen",1,1,"August",1455,"m",
270,,"Anonymous Vendor",1,6,"August",1455,"m",
271,"Heer Henric","No surname given, only Heer Henric",1,1,"August",1455,"m",
272,,"Vrouwe Velthauen",1,1,"August",1455,"f ",
273,,"Vrouwe Scollen",1,1,"August",1455,"f ",
274,,"Ioffrouwe Roefs",1,1,"August",1455,"f ",
275,"Reynere","Dillen",1,1,"August",1455,"m",
276,"Willem ","Persoens",1,1,"August",1455,"m",
277,"Jans","van Betliecht",1,1,"August",1455,"m",
278,"Ghijs","van Wilre",1,1,"August",1455,"m",
279,,"Anonymous Stone Vendor ",41,9,"August",1455,"m",
280,,"Anonymous Stone Vendor ",41,1,"September",1455,"m",
281,,"Anonymous Vendor",1,1,"September",1455,"m",
282,,"Anonymous Wagoner",37,1,"September",1455,"m",
283,,"Anonymous Laborer",9,1,"October",1455,"m",
284,,"Anonymous Wagoner",37,1,"October",1455,"m",
285,,"Anonymous Wagoner",37,1,"October",1455,"m",
286,,"Anonymous Wagoner",37,1,"October",1455,"m",
287,,"Anonymous Wagoner",37,1,"October",1455,"m",
288,,"Anonymous Wagoner",37,1,"October",1455,"m",
289,,"Anonymous Wagoner",37,1,"October",1455,"m",
290,,"Anonymous Wagoner",37,1,"October",1455,"m",
291,,"Anonymous Wagoner",37,1,"October",1455,"m",
292,,"Anonymous Tile Vendor",25,1,"October",1455,"m",
293,,"Anonymous Vendor",1,1,"October",1455,"m",
294,"Willem ","Mertens",37,1,"October",1455,"m",
295,"Willem ","der Leeu",37,1,"October",1455,"m",
296,"Denis","Stephani, Bishop of Ross, Suffragan to the Bishop of Liege? (only listed as Suffragan)",2,1,"October",1455,"m","See Suykerbuyk, 34: Denis Stephanie, Bishop of Ross (act. 1436-1458)"
297,"Jan (Johannes)","van Halle",37,1,"October",1455,"m",
298,,"Custer van Beyarden",2,1,"June",1456,"m",
299,,"Custer van Beyarden",2,1,"June",1456,"m",
300,,"Custer van Beyarden",2,1,"June ",1456,"m",
301,"Meester Henric","van den Steene",14,1,"June",1456,"m",
302,,"Apprentice of Hennen Meyers",1,1,"July",1456,"m",
303,"Claes","Coster van Dienste",2,1,"July",1456,"m",
304,"Lieben","Scarlau",4,1,"July",1456,"m",
305,"Heyne (Henric)","Companion of Lieben Scarlau",4,1,"July",1456,"m",
306,,"Vaes de Tiegeldeckere’s Apprentice 2",20,1,"July",1456,"m",
307,,"Vaes de Tiegeldeckere’s Apprentice 3",20,1,"July",1456,"m",
308,,"Apprentice 2 of Hennen Meyers",1,1,"July",1456,"m",
309,,"Anonymous Vendor",1,1,"July",1456,"m",
310,,"Anonymous Vendor",1,1,"August",1456,"m",
